MAC,SSID,AuthMode,FirstSeen,Channel,Frequency,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,RCOIs,MfgrId,Type
c2:a2:37:4d:dd:4a,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-03-26 06:25:08,1,2412,-76,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
d8:21:da:14:d0:ed,Tailors-2.4G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,3,2422,-59,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
46:27:45:03:0f:45,[LG_Wall-Mount A/C]0f45,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,11,2462,-62,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
a8:a2:37:4d:dd:48,Frst flr 2.4G,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,1,2412,-76,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
7a:8c:b5:2e:5a:a6,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-03-26 06:25:08,5,2432,-55,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
8e:de:f9:af:40:a9,,[ESS],2025-03-26 06:25:08,8,2447,-85,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
46:27:45:02:84:48,[LG_Wall-Mount A/C]8448,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,11,2462,-67,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
46:2f:d0:cf:3d:cf,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-03-26 06:25:08,10,2457,-49,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
46:2f:d0:cf:3d:ce,,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS],2025-03-26 06:25:08,36,5180,-43,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
78:8c:b5:be:5a:a8,TP-Link_5AA6_5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,44,5220,-50,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
24:2f:d0:cf:3d:ce,Darkest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,36,5180,-41,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
e4:fa:c4:f8:c0:f7,My_Room,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,5,2432,-83,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
e4:fa:c4:f8:c0:f6,My_Room_5G,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,40,5200,-88,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
34:19:4d:67:d0:fc,Tailors-2.4G,[WPA2-PSK+FT/PSK-CCMP][RSN-PSK+FT/PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,11,2462,-78,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
24:2f:d0:cf:3d:cf,Brightest,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,10,2457,-52,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
78:8c:b5:be:5a:a6,TP-Link_5AA6,[WPA2-PSK-CCMP][RSN-PSK-CCMP][ESS][WPS],2025-03-26 06:25:08,5,2432,-53,25.230166371698303,55.26079216433221,-13.549346923828125,12.19848346710205,,,WIFI
